Title,Year,Genre,Rating
Nae ireumeun Kim Sam-soon,"('2005', '2005')","['Comedy', ' Drama', ' Romance']",8.0
Idol: The Coup,"('2021', '2021')","['Drama', ' Music']",7.2
Fated to Love You,"('2014', '2014')","['Comedy', ' Romance']",7.9
Born Again,"('2020', '2020')","['Fantasy', ' Mystery', ' Romance']",6.5
School 2017,"('2017', '2017')",['Drama'],7.5
Yeopgijeogin Geunyeo,"('2017', '2017')","['Comedy', ' Romance']",6.9
365: Repeat the Year,"('2020', '2020')","['Crime', ' Drama', ' Fantasy']",8.1
Criminal Minds,"('2017', '2017')","['Action', ' Crime', ' Thriller']",5.9
Larva,"('2011', '2022')","['Animation', ' Short', ' Comedy']",7.0
Guga-ui Seo,"('2013', '2013')","['Action', ' Comedy', ' Fantasy']",8.0
Once Again,"('2020', '2020')","['Comedy', ' Drama', ' Romance']",8.4
Secret Love,"('2013', '2013')","['Drama', ' Romance']",8.1
You Are Beautiful,"('2009', '2009')","['Comedy', ' Drama', ' Music']",7.7
Witch's Court,"('2017', '2017')","['Crime', ' Drama', ' Mystery']",7.5
Bad Guys 2: City of Evil,"('2017', '2017')","['Action', ' Crime', ' Drama']",7.7
Melloga Chejil,"('2019', '2019')","['Comedy', ' Romance']",8.2
Beyblade Burst,"('2016', '2016')","['Animation', ' Action', ' Adventure']",6.8
The Spies Who Loved Me,"('2020', '2020')","['Action', ' Comedy', ' Romance']",6.0
Birth of a Beauty,"('2014', '2015')","['Comedy', ' Romance']",7.0
Emergency Couple,"('2014', '2014')","['Comedy', ' Drama', ' Romance']",7.4
Reply 1994,"('2013', '2013')","['Comedy', ' Drama', ' Romance']",7.8
The King 2 Hearts,"('2012', '2012')","['Action', ' Drama', ' Romance']",7.7
Modooui Geojitmal,"('2019', '2019')","['Drama', ' Mystery', ' Thriller']",7.1
Hotel King,"('2014', '2014')","['Drama', ' Romance']",7.2
Remember: War of the Son,"('2015', '2016')","['Drama', ' Thriller']",7.9
The Light in Your Eyes,"('2019', '2019')","['Comedy', ' Drama', ' Fantasy']",8.1
Smile PreCure!,"('2012', '2013')","['Animation', ' Action', ' Adventure']",6.6
Reply 1997,"('2012', '2013')","['Comedy', ' Drama', ' Romance']",8.0
